time,user_id,channel_capacity,allocated_bitrate,enforced_bitrate,allocated_resources,max_rate,min_rate,tokens,bucket_capacity,was_throttled
0,0,8130.99,8000,8000,10,9600.0,8000,20800000.0,38400000.0,0
0,1,4066.51,4000,4000,10,6000.0,4000,14000000.0,24000000.0,0
0,2,2124.79,2000,2000,10,3000.0,2000,7000000.0,12000000.0,0
0,3,8645.08,8000,8000,10,9600.0,8000,20800000.0,38400000.0,0
0,4,3943.41,4000,4000,16,6000.0,4000,14000000.0,24000000.0,0
0,5,1642.77,2000,2000,19,3000.0,2000,7000000.0,12000000.0,0
0,6,8358.38,8000,8000,10,9600.0,8000,20800000.0,38400000.0,0
0,7,4243.15,4000,4000,10,6000.0,4000,14000000.0,24000000.0,0
1,0,7877.78,8000,8000,16,9600.0,8000,22400000.0,38400000.0,0
1,1,4145.07,4000,4000,10,6000.0,4000,16000000.0,24000000.0,0
1,2,1988.59,4000,4000,31,6000.0,4000,14000000.0,24000000.0,0
1,3,8292.01,8000,8000,10,9600.0,8000,22400000.0,38400000.0,0
1,4,4309.83,4000,4000,10,6000.0,4000,16000000.0,24000000.0,0
1,5,1608.9,1000,1000,7,1500.0,1000,5000000.0,6000000.0,0
1,6,8375.26,8000,8000,10,9600.0,8000,22400000.0,38400000.0,0
1,7,3886.96,2000,2000,6,3000.0,2000,10000000.0,12000000.0,0
2,0,7741.69,8000,8000,16,9600.0,8000,24000000.0,38400000.0,0
2,1,4172.8,4000,4000,10,6000.0,4000,18000000.0,24000000.0,0
2,2,1815.94,4000,4000,34,6000.0,4000,16000000.0,24000000.0,0
2,3,8385.93,8000,8000,10,9600.0,8000,24000000.0,38400000.0,0
2,4,4159.67,4000,4000,10,6000.0,4000,18000000.0,24000000.0,0
2,5,1565.15,1000,1000,7,1500.0,1000,5000000.0,6000000.0,0
2,6,8224.83,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
2,7,4350.03,2000,2000,5,3000.0,2000,10000000.0,12000000.0,0
3,0,7738.31,8000,8000,16,9600.0,8000,25600000.0,38400000.0,0
3,1,3908.37,4000,4000,16,6000.0,4000,20000000.0,24000000.0,0
3,2,1939.32,4000,4000,31,6000.0,4000,18000000.0,24000000.0,0
3,3,8080.72,8000,8000,10,9600.0,8000,25600000.0,38400000.0,0
3,4,4211.88,2000,2000,5,3000.0,2000,10000000.0,12000000.0,0
3,5,1271.2,1000,1000,8,1500.0,1000,5000000.0,6000000.0,0
3,6,7892.79,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
3,7,4399.24,2000,2000,5,3000.0,2000,10000000.0,12000000.0,0
4,0,7922.93,8000,8000,16,9600.0,8000,27200000.0,38400000.0,0
4,1,3951.21,4000,4000,16,6000.0,4000,20000000.0,24000000.0,0
4,2,1921.98,4000,4000,32,6000.0,4000,20000000.0,24000000.0,0
4,3,8005.44,8000,8000,10,9600.0,8000,27200000.0,38400000.0,0
4,4,3842.25,2000,2000,6,3000.0,2000,10000000.0,12000000.0,0
4,5,1163.22,1000,1000,9,1500.0,1000,5000000.0,6000000.0,0
4,6,7777.63,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
4,7,4663.52,2000,2000,5,3000.0,2000,10000000.0,12000000.0,0
5,0,8008.83,8000,8000,10,9600.0,8000,28800000.0,38400000.0,0
5,1,3510.45,4000,4000,18,6000.0,4000,20000000.0,24000000.0,0
5,2,1970.59,4000,4000,31,6000.0,4000,20000000.0,24000000.0,0
5,3,7909.17,8000,8000,16,9600.0,8000,28800000.0,38400000.0,0
5,4,3673.02,2000,2000,6,3000.0,2000,10000000.0,12000000.0,0
5,5,1254.97,1000,1000,8,1500.0,1000,5000000.0,6000000.0,0
5,6,8035.38,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
5,7,4896.34,2000,2000,5,3000.0,2000,10000000.0,12000000.0,0
6,0,7799.03,8000,8000,16,9600.0,8000,30400000.0,38400000.0,0
6,1,3433.15,4000,4000,18,6000.0,4000,20000000.0,24000000.0,0
6,2,2020.28,4000,4000,30,6000.0,4000,20000000.0,24000000.0,0
6,3,8153.06,8000,8000,10,9600.0,8000,30400000.0,38400000.0,0
6,4,3553.23,2000,2000,6,3000.0,2000,10000000.0,12000000.0,0
6,5,1227.12,1000,1000,9,1500.0,1000,5000000.0,6000000.0,0
6,6,7758.79,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
6,7,4597.29,2000,2000,5,3000.0,2000,10000000.0,12000000.0,0
7,0,8002.16,8000,8000,10,9600.0,8000,30400000.0,38400000.0,0
7,1,3772.21,4000,4000,16,6000.0,4000,20000000.0,24000000.0,0
7,2,2009.48,4000,4000,30,6000.0,4000,20000000.0,24000000.0,0
7,3,8403.94,8000,8000,10,9600.0,8000,30400000.0,38400000.0,0
7,4,3643.64,2000,2000,6,3000.0,2000,10000000.0,12000000.0,0
7,5,1130.35,1000,1000,9,1500.0,1000,5000000.0,6000000.0,0
7,6,7849.14,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
7,7,4981.8,2000,2000,5,3000.0,2000,10000000.0,12000000.0,0
8,0,7993.2,8000,8000,16,9600.0,8000,30400000.0,38400000.0,0
8,1,4163.37,4000,4000,10,6000.0,4000,20000000.0,24000000.0,0
8,2,1616.51,4000,4000,38,6000.0,4000,20000000.0,24000000.0,0
8,3,8609.42,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
8,4,3665.4,2000,2000,6,3000.0,2000,10000000.0,12000000.0,0
8,5,1085.5,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
8,6,7872.08,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
8,7,4484.91,2000,2000,5,3000.0,2000,10000000.0,12000000.0,0
