time,user_id,channel_capacity,estimated_throughput,selected_bitrate
0,0,8130.99,7298.6,4000
0,1,4066.51,4570.2,4000
0,2,2124.79,2695.43,2000
0,3,8645.08,9211.31,8000
0,4,3943.41,4061.44,2000
0,5,1642.77,1727.06,1000
0,6,8358.38,8646.08,4000
0,7,4243.15,4414.67,2000
1,0,8127.61,7064.8,4000
1,1,3802.08,4075.42,2000
1,2,2248.18,2415.13,2000
1,3,8339.87,8282.25,4000
1,4,3995.63,3702.48,2000
1,5,1348.82,1600.71,1000
1,6,8026.33,7866.79,4000
1,7,4292.36,4238.95,2000
2,0,7958.38,6668.77,4000
2,1,3955.0,3753.99,2000
2,2,2402.83,2436.06,2000
2,3,8572.69,8329.46,4000
2,4,3785.83,3657.62,2000
2,5,1302.43,1417.06,1000
2,6,8109.15,7516.73,4000
2,7,4536.25,4323.05,2000
3,0,7980.15,6629.69,4000
3,1,3880.25,3598.79,2000
3,2,2416.59,2448.07,2000
3,3,8075.8,7728.74,4000
3,4,3730.91,3584.46,2000
3,5,1356.0,1422.45,1000
3,6,8478.62,6984.4,4000
3,7,4406.68,4040.28,2000
4,0,8054.18,6597.04,4000
4,1,3945.51,3618.57,2000
4,2,2417.36,2422.14,2000
4,3,8017.15,7224.62,4000
4,4,3377.06,3065.57,2000
4,5,1292.9,1269.71,1000
4,6,8392.94,6700.22,4000
4,7,4206.11,4158.22,2000
5,0,8006.09,7113.43,4000
5,1,4020.9,3327.43,2000
5,2,2412.15,2133.07,1000
5,3,7724.98,6854.95,4000
5,4,3662.77,2872.18,2000
5,5,1405.69,1205.6,1000
5,6,8590.7,6765.7,4000
5,7,3978.76,3991.13,2000
6,0,7810.27,6889.83,4000
6,1,3940.38,3369.03,2000
6,2,2534.18,2248.79,2000
6,3,7417.27,6878.65,4000
6,4,3719.64,2752.46,2000
6,5,1601.77,1303.72,1000
6,6,8188.83,6534.49,4000
6,7,4024.92,3591.79,2000
7,0,8276.72,7279.37,4000
7,1,4058.84,3447.16,2000
7,2,2355.48,2095.72,1000
7,3,7581.41,6350.19,4000
7,4,3475.97,2878.1,2000
7,5,1719.83,1377.82,1000
7,6,8478.48,6725.65,4000
7,7,3819.75,3663.16,2000
8,0,8433.13,7111.52,4000
8,1,3844.55,3107.53,2000
8,2,2194.85,2101.78,1000
8,3,7702.02,6087.26,4000
8,4,3420.1,2774.51,2000
8,5,1826.93,1495.76,1000
8,6,8596.79,7099.68,4000
8,7,3801.54,3400.66,2000
9,0,8703.9,7812.84,4000
9,1,4108.0,3617.59,2000
9,2,1988.2,2153.06,1000
9,3,7467.57,6720.25,4000
9,4,3548.86,2956.47,2000
9,5,1904.0,1683.26,1000
9,6,8725.55,7283.99,4000
9,7,4764.73,3759.1,2000
10,0,8582.55,8068.58,4000
10,1,4128.47,3570.63,2000
10,2,2335.4,2132.59,1000
10,3,7000.75,7018.49,4000
10,4,3720.42,3063.38,2000
10,5,1662.09,1693.1,1000
10,6,8607.57,7698.71,4000
10,7,5036.96,3994.77,2000
11,0,9118.54,8590.78,4000
11,1,4286.95,3952.54,2000
11,2,2031.63,1992.56,1000
